emoji,name,clean_post_text,emotional_scores
😶‍🌫️,⊛ face in clouds,face cloud,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
😏,smirking face,smirk face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😒,unamused face,unamused face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🙄,face with rolling eyes,face roll eye,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😬,grimacing face,grimace face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😮‍💨,⊛ face exhaling,face exhale,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤥,lying face,lie face,"{""Anger"": 0.125, ""Anticipation"": 0.0, ""Disgust"": 0.1, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
😌,relieved face,relieve face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😔,pensive face,pensive face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
😪,sleepy face,sleepy face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤤,drooling face,drool face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😴,sleeping face,sleep face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😷,face with medical mask,face medical mask,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.05555555555555555, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.03225806451612903}"
🤒,face with thermometer,face thermometer,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.03225806451612903}"
🤕,face with head-bandage,face head bandage,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
